Time,ADXL_Acceleration_X,ADXL_Acceleration_Y,ADXL_Acceleration_Z,Altitude,IMU_Acceleration_X,IMU_Acceleration_Y,IMU_Acceleration_ZLinear_Acceleration_X,Linear_Acceleration_Y,Linear_Acceleration_Z,Euler_Angle_X,Euler_Angle_Y,Euler_Angle_Z,Gravity_X,Gravity_Y,Gravity_Z
0.0007,0.0785,-0.0392,9.4928,1.0000,0.0400,0.2200,9.3000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.8000
0.0619,0.0785,-0.0392,9.4144,0.5000,0.0100,0.1000,9.4200,0.0100,0.1200,-0.3900,0.0000,0.0000,0.0000,0.0100,0.1100,9.8000
0.1164,0.0785,-0.0392,9.4536,0.5000,0.0400,0.1500,9.4500,0.0400,0.0400,-0.3400,360.0000,0.0625,-0.6250,0.0100,0.1100,9.8000
0.1721,0.0785,-0.0392,9.4536,0.5625,0.0600,0.1300,9.4400,0.0400,-0.0600,-0.4100,359.9375,0.0625,-0.6250,0.0100,0.1100,9.8000
0.2254,0.0785,-0.1177,9.2575,0.6250,0.0600,0.3000,9.5300,0.0400,0.0600,-0.2700,359.9375,0.0625,-0.6250,0.0100,0.1100,9.8000
0.2812,0.1177,-0.1177,9.3359,0.5000,0.0600,0.1600,9.4700,-0.0200,0.0500,-0.5500,359.9375,0.0625,-0.6250,0.0100,0.1100,9.8000
0.3344,0.1177,-0.0392,9.4928,1.6875,0.0900,0.1000,9.4100,0.0600,0.0500,-0.4800,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.3897,0.0785,-0.0785,9.5321,1.6875,0.0900,0.1100,9.6000,0.0100,0.0500,-0.4600,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.4438,0.1569,-0.0785,9.6497,1.6875,0.0400,0.1100,9.5500,0.0300,0.0100,-0.4600,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.4996,0.0785,-0.0785,9.4928,0.3125,0.0400,0.1900,9.3800,0.0300,0.0700,-0.1900,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.5529,0.0785,-0.0392,9.4928,0.6875,0.0400,0.1100,9.3700,0.0200,0.0200,-0.4300,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.6090,0.0785,-0.0392,9.4928,0.1250,0.0300,0.1300,9.4100,0.0100,0.0100,-0.3800,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.6619,0.0785,-0.0392,9.4536,-0.0625,0.0200,0.1500,9.4400,0.0100,0.0300,-0.3500,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.7124,0.0785,-0.0392,9.4928,1.3125,0.0200,0.1200,9.4400,0.0100,0.0300,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1100,9.8000
0.7638,0.0785,-0.0785,9.4928,1.6875,0.0300,0.1500,9.4800,0.0100,0.0300,-0.3700,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
0.8179,0.0785,-0.0392,9.4928,0.1875,0.0300,0.1300,9.4400,0.0300,0.0300,-0.3600,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
0.8721,0.0785,-0.0785,9.4928,0.4375,0.0400,0.1500,9.4600,0.0200,0.0300,-0.2700,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
0.9247,0.0392,-0.0392,9.4536,-0.3125,0.0300,0.1400,9.4600,0.0200,0.0200,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
0.9804,0.0785,-0.0392,9.4144,2.1250,0.0200,0.1600,9.4500,0.0200,0.0400,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.0334,0.0785,-0.0785,9.4536,0.3750,0.0200,0.1400,9.4600,0.0200,-0.0100,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.0870,0.0392,-0.0392,9.4536,0.6250,0.0400,0.1400,9.4500,0.0100,0.0400,-0.3400,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.1432,0.1177,-0.0392,9.4536,-0.3125,0.0500,0.1500,9.4300,0.0300,0.0100,-0.2700,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.1968,0.0785,-0.0392,9.4928,1.5000,0.0300,0.1400,9.5300,0.0400,0.0300,-0.2700,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.2516,0.0785,-0.0392,9.4536,0.9375,0.0300,0.1500,9.4700,0.0100,0.0400,-0.3600,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.3040,0.0785,-0.0785,9.4144,2.0625,0.0500,0.1600,9.4800,0.0100,0.0300,-0.2900,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.3586,0.1177,-0.0785,9.4536,0.6875,0.0400,0.1500,9.4700,0.0100,0.0300,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.4123,0.0785,-0.0785,9.4536,1.3750,0.0100,0.1500,9.4800,0.0100,0.0300,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.4656,0.1177,0.0392,9.4144,1.5000,0.0300,0.1800,9.4700,0.0200,0.0300,-0.3100,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.5195,0.0392,0.0392,9.4928,-0.1250,0.0400,0.1400,9.4800,0.0200,0.0200,-0.3700,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.5737,0.1177,-0.0785,9.4144,0.5000,0.0100,0.1400,9.4700,0.0200,0.0200,-0.3800,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.6293,0.0392,-0.0392,9.4928,0.3750,0.0400,0.1400,9.4300,0.0300,0.0200,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.6844,0.0785,-0.0392,9.4536,-0.1250,0.0300,0.1300,9.4700,0.0100,0.0300,-1.6200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.7400,0.0785,-0.0392,9.4536,0.5625,0.0500,0.1400,9.4700,0.0400,0.0200,-0.3400,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.7947,0.0785,-0.0392,9.4536,0.6250,0.0200,0.1400,9.4500,0.0400,0.0100,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.8490,0.0785,-0.0392,9.5321,0.6250,0.0300,0.1600,9.4700,0.0100,0.0400,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.9026,0.0785,-0.0392,9.4144,0.5000,0.0100,0.1800,9.4500,0.0100,0.0400,-0.3100,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
1.9554,0.0785,0.0785,9.4536,0.6250,0.0300,0.1300,9.4700,0.0400,0.0100,-0.2800,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.0102,0.1177,-0.0785,9.4536,-0.6250,0.0200,0.1500,9.4900,0.0100,0.0300,-0.3100,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.0640,0.0785,-0.0392,9.4928,0.6250,0.0200,0.1600,9.4800,0.0100,0.0100,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.1167,0.0785,-0.0785,9.4144,-0.9375,0.0400,0.1400,9.4400,0.0100,0.0300,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.1718,0.0785,-0.0392,9.4536,1.3750,0.0500,0.1400,9.4900,0.0300,0.0100,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.2268,0.1177,-0.0392,9.5321,0.8750,0.0300,0.1300,9.5000,0.0200,0.0100,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.2830,0.0392,-0.0392,9.4928,0.2500,0.0100,0.1600,9.5000,0.0200,0.0500,-0.3600,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.3379,0.0785,-0.0392,9.4928,-0.4375,0.0400,0.1400,9.4200,0.0200,0.0100,-0.3700,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.3938,0.0785,-0.0392,9.4536,-0.7500,0.0400,0.1100,9.4300,0.0200,0.0400,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.4475,0.0785,-0.0392,9.4144,0.8125,0.0600,0.1600,9.5000,0.0400,0.0100,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.5015,0.0785,-0.0392,9.4928,-0.3125,0.0600,0.1300,9.4600,0.0400,0.0100,-0.3500,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.5535,0.0785,-0.0392,9.4536,-1.0625,0.0200,0.1400,9.4400,0.0400,0.0300,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.6046,0.0785,-0.0392,9.4536,0.3125,0.0300,0.1500,9.4200,0.1000,-0.0500,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.6575,0.0785,-0.0785,9.4536,1.6875,0.0700,0.0800,9.4600,0.0400,-0.0300,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.7115,0.1177,-0.0785,9.4536,0.0625,0.0700,0.1300,9.4400,-0.0100,0.0100,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.7658,0.0785,-0.0785,9.4144,-0.5625,0.0200,0.1600,9.4300,-0.0100,0.0600,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.8202,0.0785,-0.0785,9.4928,0.1250,0.0400,0.1500,9.4600,-0.0100,0.0300,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.8745,0.1177,-0.0785,9.5713,-0.3125,0.0200,0.1300,9.4700,0.0100,0.0300,-0.3700,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.9309,0.0392,-0.0785,9.4928,0.8750,0.0400,0.2000,9.4600,0.0100,0.0800,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
2.9843,0.0785,-0.0785,9.4144,1.6250,0.0400,0.1100,9.4700,0.0100,0.0300,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.0401,0.0785,-0.0785,9.4928,0.1875,0.0500,0.1100,9.4700,0.0500,0.0300,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.0949,0.0785,-0.0392,9.5713,1.0625,0.0200,0.1300,9.4500,0.0100,0.0400,-0.3500,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.1492,0.0392,-0.0785,9.4928,0.2500,0.0600,0.1600,9.4800,0.0100,0.0400,-0.2900,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.2026,0.1177,-0.0785,9.4536,1.5625,0.0100,0.1300,9.4800,0.0100,0.0100,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.2545,0.0392,-0.0392,9.4144,0.0625,0.0300,0.1400,9.4700,0.0100,0.0100,-0.2600,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.3069,0.1177,-0.0392,9.5321,-0.9375,0.0300,0.1700,9.4800,0.0100,0.0200,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.3627,0.0392,-0.0392,9.4536,0.8750,0.0400,0.1400,9.4800,0.0200,0.0200,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.4149,0.1177,-0.0785,9.4144,-0.7500,0.0100,0.1400,9.4600,0.0200,0.0400,-0.2800,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.4693,0.0392,-0.0392,9.4536,-0.9375,0.0300,0.1000,9.5000,0.0300,-0.0200,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.5237,0.0785,-0.0392,9.4536,-2.0625,0.0300,0.1800,9.5000,0.0100,-0.0200,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.5794,0.0392,-0.0392,9.4928,0.9375,0.1000,0.1700,9.5700,0.0700,0.0500,-0.5600,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.6349,0.0785,-0.0392,9.6497,0.7500,0.0700,0.1000,9.4300,-0.0100,0.0300,-0.6200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.6917,0.0785,-0.0785,9.5713,1.1875,0.0100,0.1100,9.3100,-0.0100,0.0300,-0.5400,359.9375,0.0625,-0.6875,0.0100,0.1200,-317.8800
3.7457,0.0392,-0.0392,9.4536,-0.8125,0.0500,0.1900,9.6300,-0.0300,0.0700,-0.5600,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.8008,0.0392,-0.0392,9.4928,1.1875,0.0400,0.1100,9.3000,-0.0100,0.0700,-0.1900,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.8540,0.0785,-0.1569,9.4928,-0.5625,0.0600,0.2000,9.4800,0.0400,0.0700,-0.4600,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.9058,0.0785,-0.0392,9.4144,0.5000,0.0600,0.1300,9.3500,0.0100,0.0700,-0.0600,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
3.9607,0.0785,-0.0392,9.4144,0.3125,0.0500,0.1700,9.7000,0.0900,0.0500,-0.1000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.0145,0.0785,-0.0785,9.4928,-0.8125,0.0500,0.1300,9.5100,0.0300,0.0500,-0.4800,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.0656,0.1177,-0.0392,9.6497,-0.0625,0.0100,0.1000,9.4400,0.0300,-0.0100,-0.2100,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.1182,0.0392,-0.1177,9.4536,0.8125,0.0300,0.2000,9.5700,0.0300,0.0500,-0.2200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.1734,0.1177,-0.1177,9.4536,-0.8125,0.0300,0.1100,9.5100,0.0100,0.0200,-0.4200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.2294,0.0392,-0.0392,9.4536,0.6875,0.0400,0.1300,9.4500,0.0100,0.0100,-0.3400,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.2844,0.0785,-0.0785,9.6890,0.3750,0.0500,0.1600,9.5300,0.0300,0.0600,-0.3900,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.3403,0.0785,-0.0392,9.4536,-0.6875,0.0300,0.1100,9.4400,0.0300,0.0600,-0.3400,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.3951,0.1569,-0.0392,9.4144,-0.5625,0.0600,0.1600,9.4600,0.0400,0.0200,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.4488,0.0392,-0.0392,9.4536,-0.7500,0.0400,0.1300,9.4900,0.0400,0.0100,-0.3100,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.5028,0.1177,-0.0392,9.4536,-0.9375,0.0300,0.1300,9.4600,0.0100,0.0200,-0.2900,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.5561,0.0785,-0.0392,9.5321,0.6250,0.0300,0.1500,9.4300,0.0100,0.0200,-0.2900,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.6102,0.0785,-0.0785,9.5321,-0.3125,0.0400,0.1400,9.4700,0.0100,0.0200,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.6642,0.1177,-0.0392,9.5713,-0.3125,0.0400,0.1700,9.4300,0.0200,0.0500,-0.2800,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.7169,0.1177,-0.0392,9.5321,0.1875,0.0200,0.1300,9.4800,0.0200,0.0200,-0.3200,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.7724,0.0392,-0.0392,9.4928,-0.3125,0.0300,0.1400,9.4700,0.0100,0.0200,-0.3400,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.8271,0.0785,-0.0392,9.5321,0.6250,0.0200,0.1300,9.5000,0.0100,0.0100,-0.3000,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.8837,0.0785,-0.0785,9.4928,-0.0625,0.0400,0.1600,9.4900,0.0200,0.0300,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.9389,0.1177,-0.0785,9.4536,1.0625,0.0100,0.1600,9.4500,-0.0200,0.0400,-0.3500,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
4.9947,0.0392,-0.0785,9.5321,0.5000,0.0500,0.1300,9.4600,0.0300,0.0200,-0.3300,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
5.0477,0.1177,-0.0392,9.4144,-0.5625,0.0400,0.1100,9.4600,0.0200,0.0200,-0.3400,359.9375,0.0625,-0.6875,0.0100,0.1200,9.8000
